Random Seed,NSamples,Event,Shapley Value,t (event index),Entity,Tolerance
42,32000,Pruned Events,0.07009167410303238,1,cycling_8,0.05
42,32000,Event -1,0.006099798881982119,0,cycling_8,0.075
42,32000,Event -2,0.011089834048682173,-1,cycling_8,0.075
42,32000,Event -3,0.024018484972216193,-2,cycling_8,0.075
42,32000,Event -4,0.012416980175807446,-3,cycling_8,0.075
42,32000,Event -5,0.016617352535331396,-4,cycling_8,0.075
42,32000,Event -6,0.010374092068135228,-5,cycling_8,0.075
42,32000,Event -7,0.018343155345733667,-6,cycling_8,0.075
42,32000,Event -8,0.013908954566062566,-7,cycling_8,0.075
42,32000,Event -9,0.014732297618464032,-8,cycling_8,0.075
42,32000,Event -10,0.011901528541084547,-9,cycling_8,0.075
42,32000,Event -11,0.011110944320199212,-10,cycling_8,0.075
42,32000,Event -12,0.003874927256017704,-11,cycling_8,0.075
42,32000,Event -13,0.011417440254692851,-12,cycling_8,0.075
42,32000,Event -14,0.009538002996719946,-13,cycling_8,0.075
42,32000,Pruned Events,0.10175888712584877,1,cycling_8,0.075
