Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events > t,-177,0.4426475316286087,cycling_1
Sum of contribution of events ≤ t,-177,2.9802322387695312e-08,cycling_1
Sum of contribution of events > t,-178,0.4426475018262863,cycling_1
Sum of contribution of events ≤ t,-178,5.960464477539063e-08,cycling_1
Sum of contribution of events > t,-179,0.4426475316286087,cycling_1
Sum of contribution of events ≤ t,-179,2.9802322387695312e-08,cycling_1
Sum of contribution of events > t,-180,0.4426475390791893,cycling_1
Sum of contribution of events ≤ t,-180,2.2351741790771484e-08,cycling_1
Sum of contribution of events > t,-181,0.4426475390791893,cycling_1
Sum of contribution of events ≤ t,-181,2.2351741790771484e-08,cycling_1
Sum of contribution of events > t,-182,0.4426475539803505,cycling_1
Sum of contribution of events ≤ t,-182,7.450580596923828e-09,cycling_1
Sum of contribution of events > t,-183,0.4426475539803505,cycling_1
Sum of contribution of events ≤ t,-183,7.450580596923828e-09,cycling_1
Sum of contribution of events > t,-184,0.4426475614309311,cycling_1
Sum of contribution of events ≤ t,-184,0.0,cycling_1
Sum of contribution of events > t,-185,0.4426475316286087,cycling_1
Sum of contribution of events ≤ t,-185,2.9802322387695312e-08,cycling_1
Sum of contribution of events > t,-186,0.4426475316286087,cycling_1
Sum of contribution of events ≤ t,-186,2.9802322387695312e-08,cycling_1
Sum of contribution of events > t,-187,0.4426475614309311,cycling_1
Sum of contribution of events ≤ t,-187,0.0,cycling_1
Sum of contribution of events > t,-188,0.4426475316286087,cycling_1
Sum of contribution of events ≤ t,-188,2.9802322387695312e-08,cycling_1
Sum of contribution of events > t,-189,0.4426475614309311,cycling_1
Sum of contribution of events ≤ t,-189,0.0,cycling_1
Sum of contribution of events > t,-190,0.4426475614309311,cycling_1
Sum of contribution of events ≤ t,-190,0.0,cycling_1
Sum of contribution of events > t,-191,0.4426475316286087,cycling_1
Sum of contribution of events ≤ t,-191,2.9802322387695312e-08,cycling_1
Sum of contribution of events > t,-192,0.4426475465297699,cycling_1
Sum of contribution of events ≤ t,-192,1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-193,0.4426475316286087,cycling_1
Sum of contribution of events ≤ t,-193,2.9802322387695312e-08,cycling_1
Sum of contribution of events > t,-194,0.4426475465297699,cycling_1
Sum of contribution of events ≤ t,-194,1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-195,0.4426475316286087,cycling_1
Sum of contribution of events ≤ t,-195,2.9802322387695312e-08,cycling_1
Sum of contribution of events > t,-196,0.4426475465297699,cycling_1
Sum of contribution of events ≤ t,-196,1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-197,0.4426475763320923,cycling_1
Sum of contribution of events ≤ t,-197,-1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-198,0.4426475465297699,cycling_1
Sum of contribution of events ≤ t,-198,1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-199,0.4426475465297699,cycling_1
Sum of contribution of events ≤ t,-199,1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-200,0.4426475465297699,cycling_1
Sum of contribution of events ≤ t,-200,1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-201,0.4426475465297699,cycling_1
Sum of contribution of events ≤ t,-201,1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-202,0.4426475763320923,cycling_1
Sum of contribution of events ≤ t,-202,-1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-203,0.4426475465297699,cycling_1
Sum of contribution of events ≤ t,-203,1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-204,0.4426475465297699,cycling_1
Sum of contribution of events ≤ t,-204,1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-205,0.4426475539803505,cycling_1
Sum of contribution of events ≤ t,-205,7.450580596923828e-09,cycling_1
Sum of contribution of events > t,-206,0.4426475465297699,cycling_1
Sum of contribution of events ≤ t,-206,1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-207,0.4426475763320923,cycling_1
Sum of contribution of events ≤ t,-207,-1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-208,0.4426475837826729,cycling_1
Sum of contribution of events ≤ t,-208,-2.2351741790771484e-08,cycling_1
Sum of contribution of events > t,-209,0.4426475837826729,cycling_1
Sum of contribution of events ≤ t,-209,-2.2351741790771484e-08,cycling_1
Sum of contribution of events > t,-210,0.4426475763320923,cycling_1
Sum of contribution of events ≤ t,-210,-1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-211,0.4426475465297699,cycling_1
Sum of contribution of events ≤ t,-211,1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-212,0.4426475614309311,cycling_1
Sum of contribution of events ≤ t,-212,0.0,cycling_1
Sum of contribution of events > t,-213,0.4426475763320923,cycling_1
Sum of contribution of events ≤ t,-213,-1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-214,0.4426475465297699,cycling_1
Sum of contribution of events ≤ t,-214,1.4901161193847656e-08,cycling_1
Sum of contribution of events > t,-215,0.4426475763320923,cycling_1
